# GENERATED by tools/sync_skills.sh — repo	skill	sha256	date
operator-notebook	brain-sync	b61534d6f27aff03c8db1b64dcd8eb799198c15960860a3459e2a0e193303776	2026-07-10
operator-notebook	brain-ops	70d04f5d830e2fb020d48d123ba8981acb4a2092229afd9f07fadd96d028ce50	2026-07-10
FootyBot	brain-sync	b61534d6f27aff03c8db1b64dcd8eb799198c15960860a3459e2a0e193303776	2026-07-10
FootyBot	brain-ops	70d04f5d830e2fb020d48d123ba8981acb4a2092229afd9f07fadd96d028ce50	2026-07-10
health-notebook	brain-sync	b61534d6f27aff03c8db1b64dcd8eb799198c15960860a3459e2a0e193303776	2026-07-10
health-notebook	brain-ops	70d04f5d830e2fb020d48d123ba8981acb4a2092229afd9f07fadd96d028ce50	2026-07-10
trading-notebook	brain-sync	b61534d6f27aff03c8db1b64dcd8eb799198c15960860a3459e2a0e193303776	2026-07-10
trading-notebook	brain-ops	70d04f5d830e2fb020d48d123ba8981acb4a2092229afd9f07fadd96d028ce50	2026-07-10
